ID1,id,author,vachana,author_id
1,956,ಬಸವಣ್ಣ,"ಸಹಸ್ರಶೀರ್ಷನಾದಿಪುರುಷನು.
ವೇದಪುರುಷನೊಬ್ಬ ಪುರುಷನು.
ತ್ರಿಪಾದ ಊಧ್ರ್ವನೊಬ್ಬ ಪುರುಷನು.
ಉದನ್ಮುಖನೊಬ್ಬ ಪುರುಷನು.
ಉದಯಪುರುಷನೊಬ್ಬ ಪುರುಷನು.
ವಿರಾಟ್ಪುರುಷನೊಬ್ಬ ಪುರುಷನು.
ಆದಿಪುರುಷನೊಬ್ಬ ಪುರುಷನು.
ವಿಯತ್ಪುರುಷನೊಬ್ಬ ಪುರುಷನು.
ತದ್ವಿಯತ್ಪುರುಷ ಪುರುಷರಿಲ್ಲದ ಪ್ರಭೆ ನೋಡಿದರೆ,
ವೇದನಾದಾತೀತ ತೂರ್ಯಪರಮಾನಂದ ನಿರವಯ
ಷಟ್‍ತ್ರಿಂಶತ್‍ಪ್ರಭಾಪಟಲಪ್ರಭೆಯ ಬೆಳಗಿದೆ ನೋಡಿರೆ.
ಬೆಳಗಿನೊಳಗಣ ಮಹಾಬೆಳಗಿನ ಬೆಳಗು ಕೂಡಲಸಂಗಯ್ಯ.",
2,837,ಬಸವಣ್ಣ,"ಪರಿಯಾಣವೆ ಭಾಜನವೆಂಬರು; ಪರಿಯಾಣ ಭಾಜನವಲ್ಲ,
ಲಿಂಗಕ್ಕೆ ತನ್ನ ಮನವೆ ಭಾಜನ.
ಪ್ರಾಣವನು ಬೀಸರವೋಗಲೀಯದೆ ಮೀಸಲಾಗರ್ಪಿಸಬಲ್ಲಡೆ
ಕೂಡಿಕೊಂಡಿಪ್ಪ, ನಮ್ಮ ಕೂಡಲಸಂಗಮದೇವ.",
3,311,ಅನಾಮಿಕ ನಾಚಯ್ಯ,"ವರ್ಮವ ನುಡಿ[ವ]ರೆಂದು ಸಮನಿಸಲಾರೆ.
ತಮ್ಮಾ ನಿಮ್ಮನೆತ್ತಿಕೊಂಡು ನೊಂದೆ,
ತಮ್ಮಾ ನಿಮ್ಮನಿಳುಹಲಾರದೆ ನೊಂದೆ.
ತಮ್ಮಾ ಅಗಮ್ಯ ನಾಚಯ್ಯಪ್ರಿಯ ಚೆನ್ನರಾಮೇಶ್ವರನ ನೆಮ್ಮಿ
ತಮ್ಮನನಿಳುಹಿದೆ.",
4,21,ಅಲ್ಲಮಪ್ರಭುದೇವರು,"ಬ್ರಹ್ಮಪಾಶ, ವಿಷ್ಣುಮಾಯೆ ಎಂಬ ಬಲೆಯ ಬೀಸಿ,
ಹೊನ್ನು ಹೆಣ್ಣು ಮಣ್ಣು ತೋರಿ, ಮುಕ್ಕಣ್ಣನಾಡಿದ ಬೇಂಟೆಯ.
ಆಸೆಯೆಂಬ ಕುಟುಕನಿಕ್ಕಿ, ಹೇಸದೆ ಕೊಂದೆಯಲ್ಲಾ ಗುಹೇಶ್ವರಾ.",
5,1066,ಹೇಮಗಲ್ಲ ಹಂಪ,"ಛಲಮದವೆಂಬುದು ತಲೆಗೇರಿ
ಗುರುಹಿರಿಯರ ನೆಲೆಯನರಿಯದೆ ಮದಿಸಿಪ್ಪರಯ್ಯ.
ರೂಪಮದ ತಲೆಗೇರಿ ಮುಂದುಗೊಂಡು
ತಮ್ಮ ತನುವಿನ ರೂಪ ಚೆಲ್ವಿಕೆ ನೋಡಿ ಮರುಳಾಗಿ
ಚಿದ್ರೂಪನ ನೆನವ ಮರೆದರಯ್ಯಾ.
ಯವ್ವನಮದ ತಲೆಗೇರಿ
ಮದಸೊಕ್ಕಿದಾನೆಯಂತೆ ಪ್ರಯಾಸಮತ್ತರಾಗಿ
ಕಾಮನ ಬಲೆಯೊಳಗೆ ಸಿಲ್ಕಿ
ಕಾಮಾರಿನೆನವ ಮರೆದರಯ್ಯಾ.
ಧನಮದವೆಂಬುದು ತನುವಿನೊಳು ಇಂಬುಗೊಂಡು
ಅರ್ಥಭಾಗ್ಯ ಕಾಡಿ ವ್ಯರ್ಥ ಸತ್ತಿತು ಲೋಕ.
ವಿದ್ಯಾಮದವೆಂಬುದು ಬುದ್ಧಿಗೆಡಿಸಿ
ನಾ ಬಲ್ಲವ ತಾ ಬಲ್ಲವನೆಂದು ತರ್ಕಿಸಿ ಪ್ರಳಯಕಿಳಿದರು.
ರಾಜ್ಯಮದವೆದ್ದು ರಾಜ್ಯವನಾಡಿಸಿ ಬೇಡಿಸಿಕೊಂಡೆನೆಂದು
ರಾಜರಾಜರು ಹತವಾದರು.
ತಪಮದವೆದ್ದು ನಾ ತಪಸಿ ನಾ ಸಿದ್ಧ ನಾ ಯೋಗಿ
ನನಗಾರು ಸರಿಯಿಲ್ಲವೆಂದು
ಅಹಂಕಾರಕ್ಕೆ ಗುರಿಯಾಗಿ ಭವಕ್ಕೆ ಬಂದರು ಹಲಬರು.
ಇಂತೀ ಅಷ್ಟಮದವೆಂಬ ಭ್ರಾಂತು[ವ] ತೊಲಗಿಸಿ
ನಿಭ್ರಾಂತನಾಗಿರಬಲ್ಲರೆ ಶಿವಶರಣನೆಂಬೆ
ಪರಮಗುರು ಪಡುವಿಡಿ ಸಿದ್ಧಮಲ್ಲಿನಾಥಪ್ರಭುವೆ.",
6,1008,ಅಲ್ಲಮಪ್ರಭುದೇವರು,"ಒಂದಾದುದು ಎರಡಪ್ಪುದೆ ? ಎರಡಾದುದು ಒಂದಪ್ಪುದೆ_[ಎಂದ]À
ಪರಿಣಾಮದ ವೇಳೆಯಲ್ಲಿ ಸಂದೇಹ ಹುಟ್ಟಲುಂಟೆ ?
ಬಂದ ಜಂಗಮದ ನಿಲವನರಿಯದೆ,
ಹಿಂದನೆಣಿಸಿ ಹಲವ ಹಂಬಲಿಸುವರೆ ?
ಈ ಒಂದು ನಿಲವಿಂಗೆ ಪರಿಣಾಮವ ಮಾಡಬಲ್ಲಡೆ
ನಿನ್ನ ಲಕ್ಷದ ಮೇಲೆ ತೊಂಬತ್ತಾರುಸಾವಿರ ಜಂಗಮಕ್ಕೆ
ಪರಿಣಾಮವಹುದು ನೋಡಾ.
ಗುಹೇಶ್ವರನೆಂಬ ಲಿಂಗದ ನಿಲವನರಿಯದೆ
ಮರುಳಾದೆಯಲ್ಲಾ ಸಂಗನಬಸವಣ್ಣಾ",
7,1624,ಸಿದ್ಧರಾಮೇಶ್ವರ,"ಸೊಲ್ಲಿಗೆ ಒಂದು ಖಂಡುಗ ನವಣೆ ನುಂಗಿತ್ತಯ್ಯಾ.
ಆ ನವಣೆಯ ಹೊಯ್ದಳೆಯಬೇಕೆಂದಡೆ ಸ್ಥಲ ಸಾಲದಯ್ಯಾ-
ಹಲಬರು ಛಲವಿಡಿದುವಿಡಿದು ಹೊಲಬುಗೇಡಿಯಾದರು
ನೋಡಾ, ಕಪಿಲಸಿದ್ಧಮಲ್ಲಿಕಾರ್ಜುನಾ.",
8,780,ಗುಹೇಶ್ವರಯ್ಯ,"ಮಕರತರ್ಕದ ಪ್ರಸ್ತಾವನ ವಚನ :
ಅರಿಷಡ್ವರ್ಗವೆಂಬ ಆರು ನಾಯಿಗಳು ಬೊಗಳುತ್ತಿರೆ,
ಹೊನ್ನು ಹೆಣ್ಣು ಮಣ್ಣೆಂಬ ತ್ರಿವಿಧ ನರಿ ಕೂಗುತ್ತಿರೆ,
ಹಸಿವು ತೃಷೆ ನಿದ್ರೆ ಜಾಡ್ಯವೆಂಬ
ನಾಲ್ಕು ಸೂಕರ ಮುತ್ತಿಕೊಂಡಿರೆ,
ಸಪ್ತವ್ಯಸನಗಳೆಂಬ ಏಳು ಬೆಕ್ಕು ಸುಳಿವುತ್ತಿರೆ,
ಪಂಚೇಂದ್ರಿಯವೆಂಬ ಐದು ವರ್ಣದ ಹುಲಿ ನುಂಗುತ್ತಿರೆ,
ಸಪ್ತಧಾತುಗಳೆಂಬ ಏಳುಮಂದಿ ಹೊಲೆಯರು ಮುಟ್ಟಿ
ತನ್ನಂಗದೊಳು ನಾನು ನೀನೆಂಬ ಅಹಂಕಾರದ ಜಾಗಟೆಯ ಪಿಡಿದು
ಅಜಾÕನವೆಂಬ ಕುಡಿಯಲ್ಲಿ ಬಾರಿಸಿ,
ಇಂತಪ್ಪ ಪರಿಯಲ್ಲಿದ್ದ ಸೂತಕಂಗಳ ಪರಿಯದೆ
ಹೊರಮಾತ ಕೇಳಬಾರದೆಂದು ಜಾಗಟೆಯ ಹೊಯ್ಸಿ
ನಾದದ ಮರೆಯಲ್ಲಿ ಆಹಾರವ ಕೊಂಬ ಸೇವಕರ ನೋಡಿ
ನಗುತಿರ್ದ ನಮ್ಮ ಗೊಹೇಶ್ವರಪ್ರಿಯ ನಿರಾಳಲಿಂಗಾ.",
9,982,ಸಿದ್ಧರಾಮೇಶ್ವರ,"ವರ್ಗ ಪಟ್ಟಣದಲ್ಲಿ ಎರಡೆಂಟು ಕಳೆಗಳನು
ಹದುಳ ಪಟ್ಟಣಮಾಡಿ ಒಪ್ಪಿತೋರಿ
ಸಮತೆ ಅದ್ಥಿಕಾರದ ಸುಮತಿಯಾದುದು.
ಗ್ರಾಮ ಭ್ರಮೆಗೆಟ್ಟುದೈ ಬಿಡು ಜ್ಯೋತಿಮತಿರ್ಮಯವೈ.
ಆನಂದ ಪಾತ್ರೆಯ ಸಮತೆ ತೈಲವನೆರೆಯೆ
ಬೆಳಗು ಪ್ರಭೆಯಾಗಿ ದೆಸೆದೆಸೆಗೆವರಿದು,
ಅತಿಶಯದ ನಿತ್ಯ ಕಪಿಲಸಿದ್ಧಮಲ್ಲಿಕಾರ್ಜುನನ
ಎಯ್ದಿದ ಬೆಳಗು ಸಮತೆಯಾದೆ.",
10,465,ಚೆನ್ನಬಸವಣ್ಣ,"ಗುರುಲಿಂಗ ಉದಯವಾದ ಉದಯವ ನೋಡಿರಯ್ಯಾ.
ಹಿಂದೆ ಕತ್ತಲೆ ಮುಂದೆ ಬೆಳಗಾಯಿತ್ತು !
ಬೆಳಗು ಬೆಳದಿಂಗಳಾಯಿತ್ತು.
ಕೂಡಲಚೆನ್ನಸಂಗಯ್ಯನಲ್ಲಿ
ಒಲವಿನ ಉದಯದ ದರ್ಪಣದಿಂದ.",
